Protein FDR Confidence,Accession,Description,MW [kDa],# Unique Peptides,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,Abundance Ratio (log2): (R62) / (WTR),P-Value,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,,,
High,Q3THW5,Histone H2A.V OS=Mus musculus (Mouse) OX=10090 GN=H2afv PE=1 SV=3,13.5,4,6,5,5,5,4,5,88,30,15,28,12,15,0.14,5.89E-01,4,3,2,3,2,3,2.88E+08,4.39E+08,2.57E+08,5.44E+08,3.17E+08,2.73E+08,,,
High,Q569Z6,Thyroid hormone receptor-associated protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Thrap3 PE=1 SV=1,108.1,11,6,10,4,8,3,6,6,10,4,8,4,6,-0.51,5.89E-01,7,9,6,10,8,9,1.14E+07,1.10E+07,2.43E+06,2.07E+07,4.64E+06,7.74E+06,,,
High,Q80X90,Filamin-B OS=Mus musculus (Mouse) OX=10090 GN=Flnb PE=1 SV=3,277.7,15,21,1,,3,3,1,23,1,,3,4,1,-0.73,5.91E-01,10,1,1,2,,2,1.42E+07,6.42E+05,2.29E+05,5.00E+05,,3.01E+05,,,
High,P62313,U6 snRNA-associated Sm-like protein LSm6 OS=Mus musculus (Mouse) OX=10090 GN=Lsm6 PE=1 SV=1,9.1,3,1,2,2,3,1,2,1,2,2,3,1,2,-0.56,5.91E-01,3,3,3,3,3,3,7.17E+06,5.46E+06,4.03E+06,5.68E+06,3.71E+06,3.63E+06,,,
High,Q922P9,Putative oxidoreductase GLYR1 OS=Mus musculus (Mouse) OX=10090 GN=Glyr1 PE=1 SV=1,59.7,8,5,7,,7,,3,6,7,,7,,3,0.31,5.91E-01,4,6,3,4,2,4,4.16E+06,7.55E+06,1.94E+06,6.14E+06,5.05E+06,5.17E+06,,,
High,P10711,Transcription elongation factor A protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Tcea1 PE=1 SV=2,33.9,10,6,7,3,6,4,4,7,7,3,6,4,4,-0.52,5.93E-01,7,8,6,8,7,7,1.25E+07,9.18E+06,3.50E+06,1.11E+07,6.40E+06,6.30E+06,,,
High,Q8BI72,CDKN2A-interacting protein OS=Mus musculus (Mouse) OX=10090 GN=Cdkn2aip PE=1 SV=1,59.7,8,1,7,,5,,2,1,7,,5,,2,0.54,5.93E-01,2,6,3,5,2,5,6.63E+05,1.67E+06,4.14E+05,1.62E+06,1.89E+05,9.64E+05,,,
High,P47911,60S ribosomal protein L6 OS=Mus musculus (Mouse) OX=10090 GN=Rpl6 PE=1 SV=3,33.5,11,9,10,5,11,4,6,12,13,7,15,4,8,-0.53,5.94E-01,9,10,9,10,5,8,1.03E+08,6.61E+07,2.71E+07,8.93E+07,4.36E+07,4.58E+07,,,
High,P47934,Carnitine O-acetyltransferase OS=Mus musculus (Mouse) OX=10090 GN=Crat PE=1 SV=3,70.8,4,,4,,1,,,,4,,1,,,0.43,5.94E-01,2,3,1,2,2,,1.20E+06,1.77E+06,2.39E+05,1.83E+06,1.42E+06,,,,
High,Q9D024,Coiled-coil domain-containing protein 47 OS=Mus musculus (Mouse) OX=10090 GN=Ccdc47 PE=1 SV=2,55.8,12,5,11,2,10,2,2,5,12,2,10,2,2,0.19,5.94E-01,7,10,6,9,4,6,1.25E+07,1.13E+07,5.15E+06,1.29E+07,4.21E+07,3.87E+06,,,
High,Q60870,Receptor expression-enhancing protein 5 OS=Mus musculus (Mouse) OX=10090 GN=Reep5 PE=1 SV=1,21,2,2,2,2,2,,1,2,2,2,2,,1,0.16,5.94E-01,2,2,2,2,1,2,1.33E+07,1.62E+07,8.94E+06,2.01E+07,4.79E+06,1.49E+07,,,
High,P12787,"Cytochrome c oxidase subunit 5A, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Cox5a PE=1 SV=2",16.1,4,3,4,2,4,2,2,5,6,2,6,2,3,0.12,5.95E-01,4,4,3,4,3,4,1.69E+07,1.65E+07,1.38E+07,1.80E+07,1.18E+07,1.81E+07,,,
High,P62748,Hippocalcin-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Hpcal1 PE=1 SV=2,22.3,5,3,1,,4,1,1,3,1,,4,1,1,0.36,5.96E-01,4,3,1,4,1,1,3.91E+06,1.53E+06,2.87E+05,1.96E+06,1.98E+06,3.09E+05,,,
High,O55135,Eukaryotic translation initiation factor 6 OS=Mus musculus (Mouse) OX=10090 GN=Eif6 PE=1 SV=2,26.5,4,3,2,,3,1,2,5,3,,4,1,4,0.28,5.97E-01,3,2,2,2,2,2,1.22E+07,2.12E+06,2.11E+06,2.57E+06,5.71E+06,1.66E+06,,,
High,Q9JLI8,Squamous cell carcinoma antigen recognized by T-cells 3 OS=Mus musculus (Mouse) OX=10090 GN=Sart3 PE=1 SV=1,109.6,9,5,3,,8,,2,5,3,,8,,2,0.29,5.97E-01,4,4,2,4,4,3,4.71E+06,2.20E+06,4.06E+05,2.69E+06,2.81E+06,1.65E+06,,,
High,O08585,Clathrin light chain A OS=Mus musculus (Mouse) OX=10090 GN=Clta PE=1 SV=2,25.6,7,4,4,,5,2,5,4,4,,6,2,5,0.13,5.98E-01,7,7,6,7,6,7,4.91E+07,2.03E+07,1.08E+07,2.28E+07,1.32E+07,2.23E+07,,,
High,P16125,L-lactate dehydrogenase B chain OS=Mus musculus (Mouse) OX=10090 GN=Ldhb PE=1 SV=2,36.5,14,12,12,6,12,9,8,20,20,8,16,11,12,0.13,5.98E-01,14,13,12,15,11,12,4.39E+08,7.28E+07,3.41E+07,7.97E+07,1.25E+08,5.29E+07,,,
High,Q9CQM9,Glutaredoxin-3 OS=Mus musculus (Mouse) OX=10090 GN=Glrx3 PE=1 SV=1,37.8,6,4,4,,2,2,1,5,4,,2,2,1,0.3,6.01E-01,5,3,2,3,3,3,4.98E+06,2.70E+06,1.23E+06,3.32E+06,4.44E+06,3.27E+06,,,
High,O70492,Sorting nexin-3 OS=Mus musculus (Mouse) OX=10090 GN=Snx3 PE=1 SV=3,18.7,7,7,8,2,9,1,4,8,9,2,10,1,5,-0.5,6.01E-01,6,6,4,6,4,5,1.66E+07,1.58E+07,6.35E+06,1.51E+07,7.76E+06,1.12E+07,,,
High,Q9Z130,Heterogeneous nuclear ribonucleoprotein D-like OS=Mus musculus (Mouse) OX=10090 GN=Hnrnpdl PE=1 SV=1,33.5,8,8,8,3,9,6,6,13,9,3,10,7,8,0.13,6.02E-01,6,6,6,7,5,6,5.25E+07,4.00E+07,4.17E+07,5.27E+07,4.56E+07,3.84E+07,,,
High,P80317,T-complex protein 1 subunit zeta OS=Mus musculus (Mouse) OX=10090 GN=Cct6a PE=1 SV=3,58,17,13,14,8,15,5,4,20,15,9,15,5,4,-0.52,6.03E-01,14,17,11,15,11,10,1.35E+08,5.14E+07,1.95E+07,5.81E+07,3.58E+07,2.23E+07,,,
High,Q91YH5,Atlastin-3 OS=Mus musculus (Mouse) OX=10090 GN=Atl3 PE=1 SV=1,60.5,10,2,6,,9,,1,2,7,,11,,2,-0.6,6.03E-01,4,6,2,8,1,3,5.07E+06,4.67E+06,7.06E+05,1.36E+07,3.09E+06,2.16E+06,,,
High,E9Q1P8,Interferon regulatory factor 2-binding protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Irf2bp2 PE=1 SV=1,59.3,3,1,3,,2,,,2,4,,2,,,-0.66,6.04E-01,2,2,1,2,,,1.20E+06,8.45E+05,3.21E+05,5.34E+05,,,,,
High,Q9D8U8,Sorting nexin-5 OS=Mus musculus (Mouse) OX=10090 GN=Snx5 PE=1 SV=1,46.8,8,3,7,1,4,2,2,3,8,1,5,2,2,0.28,6.05E-01,2,5,4,3,3,4,2.25E+06,4.36E+06,2.14E+06,2.73E+06,2.25E+06,3.69E+06,,,
High,P59999,Actin-related protein 2/3 complex subunit 4 OS=Mus musculus (Mouse) OX=10090 GN=Arpc4 PE=1 SV=3,19.7,5,4,5,2,4,2,3,4,5,2,4,2,3,0.13,6.06E-01,4,4,4,3,4,4,2.33E+07,1.57E+07,9.59E+06,1.45E+07,2.29E+07,1.72E+07,,,
High,P54818,Galactocerebrosidase OS=Mus musculus (Mouse) OX=10090 GN=Galc PE=1 SV=2,77.2,7,1,6,,5,2,1,1,6,,5,2,1,0.25,6.07E-01,3,4,3,4,3,3,2.82E+06,4.93E+06,1.32E+06,6.56E+06,3.19E+06,3.35E+06,,,
High,Q8CG72,ADP-ribose glycohydrolase ARH3 OS=Mus musculus (Mouse) OX=10090 GN=Adprhl2 PE=1 SV=1,39.4,3,1,1,,3,1,1,1,1,,3,1,1,0.34,6.08E-01,2,1,2,2,2,2,1.54E+06,8.93E+05,1.59E+06,1.57E+06,2.58E+06,1.94E+06,,,
High,Q64152,Transcription factor BTF3 OS=Mus musculus (Mouse) OX=10090 GN=Btf3 PE=1 SV=3,22,5,4,4,1,3,1,2,6,4,1,4,1,2,-0.5,6.08E-01,4,4,4,5,,2,2.95E+07,1.60E+07,6.51E+06,1.75E+07,,7.34E+06,,,
High,Q5SUR0,Phosphoribosylformylglycinamidine synthase OS=Mus musculus (Mouse) OX=10090 GN=Pfas PE=1 SV=1,144.5,16,7,6,2,10,2,4,7,7,2,10,2,4,-0.51,6.09E-01,6,10,6,9,6,9,1.22E+07,1.07E+07,3.39E+06,1.35E+07,7.49E+06,6.32E+06,,,
High,Q3U3R4,Lipase maturation factor 1 OS=Mus musculus (Mouse) OX=10090 GN=Lmf1 PE=1 SV=1,65.8,3,,2,1,3,,1,,3,1,3,,1,0.53,6.11E-01,2,3,1,3,,2,8.20E+05,1.86E+06,2.24E+05,1.77E+06,,7.94E+05,,,
High,O70400,PDZ and LIM domain protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Pdlim1 PE=1 SV=4,35.8,3,1,2,1,3,,,1,2,1,3,,,-0.6,6.12E-01,,2,2,2,1,1,,8.94E+05,2.60E+05,1.37E+06,1.65E+05,3.17E+05,,,
High,E9Q5C9,Nucleolar and coiled-body phosphoprotein 1 OS=Mus musculus (Mouse) OX=10090 GN=Nolc1 PE=1 SV=1,73.7,2,1,2,1,2,,,1,2,1,2,,,0.52,6.13E-01,2,2,2,2,,2,7.35E+06,7.58E+05,6.90E+05,1.94E+06,,6.08E+05,,,
High,Q6P8I4,PEST proteolytic signal-containing nuclear protein OS=Mus musculus (Mouse) OX=10090 GN=Pcnp PE=1 SV=1,19,7,5,6,4,6,2,2,5,6,4,6,2,2,-0.49,6.13E-01,7,7,7,7,6,7,1.29E+07,1.16E+07,1.02E+07,1.42E+07,4.84E+06,8.31E+06,,,
High,Q6A026,Sister chromatid cohesion protein PDS5 homolog A OS=Mus musculus (Mouse) OX=10090 GN=Pds5a PE=1 SV=3,150.2,4,1,4,,1,,,1,4,,1,,,-0.66,6.14E-01,2,3,1,2,1,1,1.19E+07,1.11E+06,6.09E+04,7.02E+05,1.58E+06,7.31E+04,,,
High,Q62241,U1 small nuclear ribonucleoprotein C OS=Mus musculus (Mouse) OX=10090 GN=Snrpc PE=1 SV=1,17.4,3,3,3,3,2,1,2,5,3,3,3,1,2,-0.5,6.14E-01,3,3,3,3,2,3,1.27E+07,1.07E+07,6.13E+06,1.22E+07,4.78E+06,7.55E+06,,,
High,Q9CQI7,U2 small nuclear ribonucleoprotein B'' OS=Mus musculus (Mouse) OX=10090 GN=Snrpb2 PE=1 SV=1,25.3,3,4,4,3,4,4,4,4,6,3,4,4,4,0.27,6.15E-01,2,4,4,4,4,4,5.86E+06,3.57E+06,2.59E+06,5.86E+06,3.73E+06,4.32E+06,,,
High,P61804,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Mus musculus (Mouse) OX=10090 GN=Dad1 PE=1 SV=3,12.5,3,2,2,1,3,1,2,3,2,1,4,1,3,0.28,6.15E-01,2,2,1,2,1,2,3.79E+06,5.18E+06,1.49E+06,4.61E+06,5.24E+06,3.44E+06,,,
High,P13020,Gelsolin OS=Mus musculus (Mouse) OX=10090 GN=Gsn PE=1 SV=3,85.9,19,12,17,10,14,11,8,13,22,11,20,13,9,0.12,6.16E-01,14,19,18,19,11,17,5.15E+07,6.91E+07,4.15E+07,5.58E+07,6.50E+07,4.84E+07,,,
High,O08795,Glucosidase 2 subunit beta OS=Mus musculus (Mouse) OX=10090 GN=Prkcsh PE=1 SV=1,58.8,15,9,12,6,13,6,5,9,14,6,17,6,5,-0.51,6.17E-01,9,12,9,13,8,10,2.38E+07,2.18E+07,9.81E+06,2.90E+07,1.20E+07,1.53E+07,,,
High,Q9QWR8,Alpha-N-acetylgalactosaminidase OS=Mus musculus (Mouse) OX=10090 GN=Naga PE=1 SV=2,47.2,9,3,8,3,3,2,6,3,9,3,3,2,7,0.3,6.18E-01,4,7,5,4,6,7,5.03E+06,1.48E+07,4.39E+06,3.00E+06,6.18E+06,1.14E+07,,,
High,Q06138,Calcium-binding protein 39 OS=Mus musculus (Mouse) OX=10090 GN=Cab39 PE=1 SV=2,39.8,4,2,5,,2,,1,2,5,,2,,1,0.24,6.19E-01,3,4,4,2,,3,2.71E+06,3.97E+06,1.36E+06,3.28E+06,,3.14E+06,,,
High,E9PY16,ArfGAP with dual PH domains 1 OS=Mus musculus (Mouse) OX=10090 GN=Adap1 PE=1 SV=1,43.3,10,4,7,1,8,3,3,4,8,1,8,3,3,-0.49,6.19E-01,6,8,5,8,5,5,1.03E+07,2.39E+07,4.76E+06,1.81E+07,7.34E+06,6.99E+06,,,
High,Q9WTT4,V-type proton ATPase subunit G 2 OS=Mus musculus (Mouse) OX=10090 GN=Atp6v1g2 PE=1 SV=1,13.6,3,,3,,3,1,2,,3,,3,1,2,0.51,6.19E-01,,3,2,1,2,2,,1.45E+06,4.18E+05,1.11E+06,6.49E+05,1.37E+06,,,
High,Q9D6K8,FUN14 domain-containing protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Fundc2 PE=1 SV=1,16.6,2,,1,,2,,1,,1,,2,,1,-0.63,6.20E-01,1,2,2,2,,2,1.63E+06,2.03E+06,6.57E+05,1.27E+06,,8.81E+05,,,
High,P62274,40S ribosomal protein S29 OS=Mus musculus (Mouse) OX=10090 GN=Rps29 PE=1 SV=2,6.7,3,1,1,1,3,1,1,2,1,1,4,1,1,-0.5,6.20E-01,4,3,3,4,2,3,1.57E+07,5.27E+06,6.35E+06,1.05E+07,2.39E+06,4.48E+06,,,
High,Q9CQW1,Synaptobrevin homolog YKT6 OS=Mus musculus (Mouse) OX=10090 GN=Ykt6 PE=1 SV=1,22.3,5,2,3,,3,,,2,3,,3,,,-0.61,6.21E-01,3,3,1,3,2,2,4.27E+06,5.62E+06,5.60E+05,6.05E+06,2.05E+06,2.79E+06,,,
High,Q66JS6,Eukaryotic translation initiation factor 3 subunit J-B OS=Mus musculus (Mouse) OX=10090 GN=Eif3j2 PE=1 SV=1,29.5,3,3,3,1,2,2,2,4,3,1,2,2,2,-0.52,6.21E-01,3,3,2,2,2,2,1.65E+07,5.72E+06,2.32E+06,5.20E+06,3.93E+06,4.00E+06,,,
High,Q9CPR4,60S ribosomal protein L17 OS=Mus musculus (Mouse) OX=10090 GN=Rpl17 PE=1 SV=3,21.4,5,5,4,1,4,2,2,8,6,1,5,2,2,-0.51,6.21E-01,5,5,3,5,2,4,1.38E+08,4.02E+07,1.89E+07,5.49E+07,9.15E+06,2.83E+07,,,
High,Q8BH74,Nuclear pore complex protein Nup107 OS=Mus musculus (Mouse) OX=10090 GN=Nup107 PE=1 SV=1,106.7,5,2,3,,2,,,2,3,,2,,,0.46,6.21E-01,2,3,1,2,2,1,9.98E+05,9.67E+05,9.45E+04,2.97E+06,9.35E+05,1.33E+06,,,
High,Q99J36,THUMP domain-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Thumpd1 PE=1 SV=1,38.9,8,6,7,4,7,4,3,6,10,4,7,4,3,-0.48,6.24E-01,6,7,5,7,5,6,9.98E+06,1.37E+07,6.66E+06,9.45E+06,6.98E+06,7.17E+06,,,
High,P97350,Plakophilin-1 OS=Mus musculus (Mouse) OX=10090 GN=Pkp1 PE=1 SV=1,80.8,8,4,4,6,5,4,3,5,4,6,5,4,4,0.19,6.25E-01,4,5,6,4,6,5,7.48E+06,1.03E+07,1.65E+07,9.81E+06,2.00E+07,1.18E+07,,,
High,Q8C2Q3,RNA-binding protein 14 OS=Mus musculus (Mouse) OX=10090 GN=Rbm14 PE=1 SV=1,69.4,16,13,9,5,13,5,6,16,13,5,16,5,6,-0.5,6.26E-01,14,13,11,15,8,13,4.98E+07,2.73E+07,2.38E+07,3.98E+07,1.38E+07,1.93E+07,,,
High,Q8CCS6,Polyadenylate-binding protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Pabpn1 PE=1 SV=3,32.3,6,2,5,3,5,1,4,2,5,3,6,1,4,0.23,6.27E-01,3,4,4,3,3,4,6.96E+06,6.84E+06,4.25E+06,8.64E+06,3.49E+06,8.02E+06,,,
High,Q6PDY2,2-aminoethanethiol dioxygenase OS=Mus musculus (Mouse) OX=10090 GN=Ado PE=1 SV=2,28.4,8,5,6,4,6,4,4,5,7,4,7,4,4,0.12,6.28E-01,7,6,7,7,7,7,1.43E+07,1.89E+07,1.17E+07,2.34E+07,1.30E+07,1.55E+07,,,
High,Q6P069,Sorcin OS=Mus musculus (Mouse) OX=10090 GN=Sri PE=1 SV=1,21.6,7,4,6,3,7,5,4,6,8,3,9,5,4,-0.5,6.29E-01,7,7,6,8,5,5,2.24E+07,2.42E+07,8.57E+06,4.27E+07,1.55E+07,1.58E+07,,,
High,O70152,Dolichol-phosphate mannosyltransferase subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Dpm1 PE=1 SV=1,29.2,4,1,3,2,4,,2,1,3,2,4,,2,0.22,6.29E-01,2,4,3,4,,3,2.82E+06,4.57E+06,1.87E+06,4.44E+06,,2.45E+06,,,
High,Q3UMU9,Hepatoma-derived growth factor-related protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Hdgfl2 PE=1 SV=1,74.2,11,4,9,,8,,1,4,9,,8,,1,0.34,6.29E-01,1,5,4,6,3,6,1.39E+06,1.79E+06,8.28E+05,8.46E+06,8.17E+05,1.76E+06,,,
High,Q3TIX6,Far upstream element (FUSE)-binding protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Fubp3 PE=1 SV=1,61.9,12,8,10,3,13,1,6,8,10,3,16,1,6,0.23,6.29E-01,6,11,4,12,5,8,7.11E+06,1.80E+07,2.94E+06,2.49E+07,6.38E+06,8.31E+06,,,
High,Q80TY0,Formin-binding protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Fnbp1 PE=1 SV=2,71.3,7,2,3,,4,1,,2,3,,4,1,,-0.62,6.30E-01,4,5,3,5,1,3,3.18E+06,2.67E+06,1.24E+06,2.55E+06,1.93E+05,1.74E+06,,,
High,P62918,60S ribosomal protein L8 OS=Mus musculus (Mouse) OX=10090 GN=Rpl8 PE=1 SV=2,28,10,7,6,1,6,3,4,8,7,1,7,3,4,-0.5,6.30E-01,7,8,6,8,4,7,1.48E+08,3.98E+07,1.84E+07,4.55E+07,2.18E+07,2.82E+07,,,
High,Q3TJZ6,Protein FAM98A OS=Mus musculus (Mouse) OX=10090 GN=Fam98a PE=1 SV=1,55,4,3,4,1,5,1,,3,5,1,6,2,,-0.59,6.30E-01,3,4,2,3,2,3,3.22E+06,3.72E+06,1.58E+06,5.40E+06,1.67E+06,2.14E+06,,,
High,Q3UJU9,Regulator of microtubule dynamics protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Rmdn3 PE=1 SV=2,52,7,4,4,,6,,3,4,4,,7,,3,0.27,6.31E-01,3,5,3,6,4,4,5.02E+06,4.19E+06,2.02E+06,5.42E+06,5.04E+06,3.77E+06,,,
High,O88544,COP9 signalosome complex subunit 4 OS=Mus musculus (Mouse) OX=10090 GN=Cops4 PE=1 SV=1,46.3,12,9,6,1,7,3,3,11,8,1,10,3,3,-0.5,6.32E-01,8,7,4,7,5,6,1.03E+07,6.61E+06,1.85E+06,8.34E+06,4.67E+06,3.64E+06,,,
High,Q9QYR9,"Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Acot2 PE=1 SV=2",49.6,4,5,6,3,8,4,5,5,6,3,9,4,5,0.27,6.32E-01,2,4,2,4,2,2,1.70E+06,4.15E+06,1.16E+06,5.36E+06,9.39E+05,2.05E+06,,,
High,Q99LC5,"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Etfa PE=1 SV=2",35,11,8,7,4,9,6,5,8,8,4,11,7,5,-0.49,6.33E-01,10,9,7,10,7,10,3.27E+07,2.21E+07,7.76E+06,2.60E+07,1.46E+07,1.57E+07,,,
High,Q9CZ44,NSFL1 cofactor p47 OS=Mus musculus (Mouse) OX=10090 GN=Nsfl1c PE=1 SV=1,40.7,12,6,9,4,11,4,5,8,11,5,13,5,7,0.11,6.33E-01,7,11,10,12,10,9,1.55E+07,2.27E+07,1.37E+07,2.90E+07,1.67E+07,1.66E+07,,,
High,Q8VH51,RNA-binding protein 39 OS=Mus musculus (Mouse) OX=10090 GN=Rbm39 PE=1 SV=2,59.4,11,7,10,1,8,2,4,10,11,1,8,2,4,-0.46,6.34E-01,8,10,3,10,4,5,1.82E+07,1.49E+07,3.82E+06,1.72E+07,1.09E+07,6.60E+06,,,
High,Q99KP6,Pre-mRNA-processing factor 19 OS=Mus musculus (Mouse) OX=10090 GN=Prpf19 PE=1 SV=1,55.2,10,7,6,4,8,1,4,7,7,5,9,1,4,-0.5,6.35E-01,7,7,7,7,4,6,2.08E+07,2.76E+07,1.39E+07,3.20E+07,8.49E+06,1.47E+07,,,
High,P54775,26S proteasome regulatory subunit 6B OS=Mus musculus (Mouse) OX=10090 GN=Psmc4 PE=1 SV=2,47.4,8,6,5,,6,1,2,6,5,,6,1,2,0.21,6.35E-01,5,5,4,6,4,5,1.09E+07,8.24E+06,2.50E+06,1.39E+07,9.52E+06,8.26E+06,,,
High,P14733,Lamin-B1 OS=Mus musculus (Mouse) OX=10090 GN=Lmnb1 PE=1 SV=3,66.7,35,35,34,25,33,16,20,51,56,35,57,20,29,-0.49,6.36E-01,38,39,31,38,26,32,2.96E+08,3.32E+08,1.31E+08,3.22E+08,1.40E+08,2.10E+08,,,
High,Q61768,Kinesin-1 heavy chain OS=Mus musculus (Mouse) OX=10090 GN=Kif5b PE=1 SV=3,109.5,20,15,13,,18,2,7,16,13,,18,2,7,-0.48,6.36E-01,13,9,6,14,5,10,1.74E+07,7.76E+06,9.01E+05,1.11E+07,1.94E+06,5.55E+06,,,
High,Q9CZ13,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Uqcrc1 PE=1 SV=2",52.8,17,15,14,8,15,7,8,19,21,10,18,10,11,-0.49,6.37E-01,13,18,14,17,11,14,6.52E+07,9.86E+07,3.73E+07,9.16E+07,3.50E+07,4.64E+07,,,
High,P62827,GTP-binding nuclear protein Ran OS=Mus musculus (Mouse) OX=10090 GN=Ran PE=1 SV=3,24.4,9,8,7,6,7,4,6,13,9,7,10,4,7,-0.49,6.38E-01,8,8,6,7,5,6,3.24E+08,1.09E+08,6.58E+07,1.32E+08,6.49E+07,7.76E+07,,,
High,Q9D6F9,Tubulin beta-4A chain OS=Mus musculus (Mouse) OX=10090 GN=Tubb4a PE=1 SV=3,49.6,5,23,23,20,25,20,21,183,113,60,100,73,71,0.1,6.38E-01,7,7,7,7,6,7,3.66E+08,6.44E+08,2.69E+08,3.92E+08,4.28E+08,3.46E+08,,,
High,Q8R404,MICOS complex subunit MIC13 OS=Mus musculus (Mouse) OX=10090 GN=Micos13 PE=1 SV=1,13.4,2,,2,,2,,,,2,,2,,,-0.61,6.38E-01,2,2,2,2,1,1,2.77E+06,5.44E+06,2.78E+06,4.68E+06,1.83E+06,1.49E+06,,,
High,O09114,Prostaglandin-H2 D-isomerase OS=Mus musculus (Mouse) OX=10090 GN=Ptgds PE=1 SV=1,21.1,3,1,3,1,1,1,1,2,5,1,1,2,2,0.09,6.39E-01,3,3,3,3,2,2,1.18E+07,2.19E+07,1.71E+07,5.28E+06,3.52E+07,1.82E+07,,,
High,Q8VHM5,Heterogeneous nuclear ribonucleoprotein R OS=Mus musculus (Mouse) OX=10090 GN=Hnrnpr PE=1 SV=1,70.8,18,19,22,10,24,10,12,27,26,10,31,12,13,-0.49,6.39E-01,15,18,14,18,10,16,8.48E+07,7.66E+07,2.87E+07,8.87E+07,4.54E+07,5.45E+07,,,
High,Q9QZQ8,Core histone macro-H2A.1 OS=Mus musculus (Mouse) OX=10090 GN=H2afy PE=1 SV=3,39.7,16,14,16,8,17,7,12,24,30,10,31,10,21,-0.49,6.39E-01,13,16,16,16,11,14,1.50E+08,1.89E+08,8.97E+07,1.66E+08,6.89E+07,1.07E+08,,,
High,P53026,60S ribosomal protein L10a OS=Mus musculus (Mouse) OX=10090 GN=Rpl10a PE=1 SV=3,24.9,9,4,6,1,6,2,2,7,7,1,6,2,2,-0.49,6.39E-01,7,6,4,6,5,4,1.32E+08,4.21E+07,1.43E+07,5.62E+07,3.00E+07,2.54E+07,,,
High,P61290,Proteasome activator complex subunit 3 OS=Mus musculus (Mouse) OX=10090 GN=Psme3 PE=1 SV=1,29.5,3,3,,,,,,4,,,,,,-0.56,6.39E-01,3,1,2,1,,2,1.23E+07,4.47E+05,3.22E+05,2.43E+05,,3.77E+05,,,
High,Q9CRB9,MICOS complex subunit Mic19 OS=Mus musculus (Mouse) OX=10090 GN=Chchd3 PE=1 SV=1,26.3,11,4,7,6,9,4,3,5,7,6,10,4,3,-0.49,6.39E-01,8,9,6,8,6,6,2.14E+07,2.24E+07,1.49E+07,1.94E+07,1.11E+07,1.53E+07,,,
High,P13595,Neural cell adhesion molecule 1 OS=Mus musculus (Mouse) OX=10090 GN=Ncam1 PE=1 SV=3,119.4,9,2,5,1,6,1,4,2,5,1,6,1,4,0.23,6.40E-01,3,5,7,6,2,5,2.42E+06,1.96E+06,1.46E+06,3.67E+06,2.30E+06,2.13E+06,,,
High,O89053,Coronin-1A OS=Mus musculus (Mouse) OX=10090 GN=Coro1a PE=1 SV=5,51,6,2,5,,,,2,2,5,,,,2,0.33,6.40E-01,3,5,3,4,4,3,1.35E+06,4.66E+06,4.52E+05,1.70E+06,3.47E+06,1.63E+06,,,
High,A0A2I3BPG9,"Ribosomal protein L36A, pseudogene 1 OS=Mus musculus (Mouse) OX=10090 GN=Rpl36a-ps1 PE=3 SV=1",12.4,4,3,4,1,4,2,1,3,4,1,4,3,1,-0.47,6.40E-01,4,4,3,4,2,3,3.49E+07,1.02E+07,6.42E+06,1.62E+07,7.39E+06,7.14E+06,,,
High,P49615,Cyclin-dependent-like kinase 5 OS=Mus musculus (Mouse) OX=10090 GN=Cdk5 PE=1 SV=1,33.3,6,5,4,3,5,1,2,6,4,3,5,1,2,0.28,6.41E-01,2,4,3,4,2,2,1.62E+06,6.59E+06,1.27E+06,5.22E+06,1.62E+06,1.96E+06,,,
High,Q9WUA2,Phenylalanine--tRNA ligase beta subunit OS=Mus musculus (Mouse) OX=10090 GN=Farsb PE=1 SV=2,65.7,10,7,6,1,8,3,4,9,6,1,8,3,4,-0.48,6.41E-01,8,9,5,10,5,9,1.31E+07,1.04E+07,2.00E+06,1.62E+07,5.02E+06,7.49E+06,,,
